no,core,peripheral,key,major,minor
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,42,87,26
8,0,0,92,216,54
9,0,0,145,323,76
10,0,0,208,434,97
11,0,0,276,544,128
12,0,0,331,650,162
13,0,0,397,754,192
14,0,0,444,860,212
15,0,0,498,980,240
16,0,0,551,1071,263
17,0,0,603,1161,291
