year,core,peripheral,key,major,minor
2010,54,0,36,18,0
2011,198,18,130,68,18
2012,428,61,237,208,44
2013,681,87,273,442,53
2014,763,130,284,541,68
2015,815,141,284,593,79
2016,891,162,286,667,100
2017,912,177,287,687,115
