Commit;Size
6b653c71f2fc8e408edeca4e9081df3fb7463329;100.0
b82f832098344d3c38241ba9d5848b94c678bc55;175.0
20e3f4f2e1302fb517ec6fd28c936d702b9c018a;100.0
790761a8a9660d2097028b14472db66569218e1d;71.42857142857143
699287bbd92d3d832254916b2f358b34d88c372b;80.0
fc0585a7163d6bec473b2acc5d1c352fb8272fbc;125.0
9bf4077fc5dd301587f23a0f84b92ac1d2f4bece;160.0
28014fc270784cd2c4955a5d8971475da5eb7d4f;175.0
b17c6eb89da8932d7bf389d512f3a91cf0e8dcf0;214.28571428571428
be7460d372f5831081dc7b908c4d69b395699f8c;103.33333333333333
e74ad53c3ce15ba7788601ca909d8d9439a0dfbc;103.2258064516129
ce688fa32d12c794d66d62bd052d1c5d677b6f1c;100.0
e723f662b8e65da90e2274ff9f2ea2fe31d6de48;103.125
638e38557b424c4860955b89321f18173b347e36;100.0
edec3a8a77bc39d1d364a22eb45e0c21e952a5fe;103.03030303030303
c2b577b7fdb8c0b4afb6b8392eb79fde605a2511;111.76470588235294
913ea4d0b914fa87edd5e4719eeb9d4a11de4320;105.26315789473684
c2e211bc66d4055a55e6b3c637c7c9bf17fd7f22;100.0
d1e8d87ca379679720fa03595dfb92149c30f916;100.0
97d87dfb664c691de2ff9833f9021e899558cd5a;102.5
565e84d7f51058da6dbcc5c9aecccf8047c43d94;100.0
d93b5525c4769595f4a2bf5fb4e0fde02908c04b;100.0
f01c4c502c3396f50ee4efe23650b94f6e62ed77;100.0
9de7ce118f3ac0de74799018f23ee69aaa1422f7;100.0
1f19e8c99625f5326197032444dcbbcfd394d758;100.0
4f92d5e097ae75da60b7e96695fb92438d4c0717;102.4390243902439
8c8cb8b0132c2416279a52da47b0015120496a09;102.38095238095238
80395c05fc5f830687d52d96bfb12730bdca179c;102.32558139534883
6383eaf79b511997acdc1ba69119b9c90156a7db;100.0
b391321fbb36f60b37fb4821d9548d23d2cedcd0;100.0
6a88ba8bcf988f4ed3b26eece530bf24ce82e751;100.0
ef1f504ac1d53746f8abaf1ce7b3e53b022e9863;100.0
29b4f4d5d4173ab0288e42b6dd5a06a2392d486e;115.9090909090909
40d7371a16969b9b4b2de13671e1be32a0416d2b;100.0
ea0a8d9165630f99fa1b8cea066c39a19f21b1ff;100.0
07048640b08c4655cb3d3e94a246fc770a9f8440;100.0
51499677db577eadf772dfcbe994913a19096105;100.0
b01812e7af9932e839e36e3c870653ca8357ec64;100.0
f965d0207414d856cc6700475888cd9a8f068a21;100.0
a784ca5a1fada89fbdaead2ff3461354bcf722b1;109.80392156862744
9249661c91077205bdc2dc7808df9ea10b97b889;101.78571428571429
2932af3b95acfee04e04befbf137983af22344a5;110.52631578947368
f1226b7d8d0cd6f55151493be5fa90a06c64b43c;98.41269841269842
4675575bedae0b9df282c83bd9ed57eebd0615e2;100.0
a8c64fe62b8e4ae1f9393c9f66789eac6ea8ab56;83.87096774193549
5ed96f4fd93398ff74363e12004b1f6e5a29dc15;100.0
daabf948530d048ac5d200fbcb99a0b9a82fcf4d;100.0
7c162fff0837d77c9f981be0f10c8e15551e5dbd;100.0
5b03ce3abefe99f7e2d8533fc4fa5134080ef1e7;103.84615384615384
e08b8f97d3776f8c80ed3efdd8062b09fc50b5f2;100.0
afd12098e921f4f6c0834e47c88b9efc2182ed9b;100.0
c51001b0afd2764a9d08638f1f801f3ac7553bf9;100.0
53526155e5995dfc023cc791935071af3c112a6f;111.11111111111111
3659e9ab52b7f6470830d07c535a025837e0e7ac;100.0
66b98781a2bf48ec6c71cf9e880531698fb4e540;100.0
7f19e47843d43aabd192683269b1d066784e907b;73.33333333333333
e0e3bd77e65f653d6392b682a622d05a3a9f1b4f;102.27272727272727
2a378903d878eaa0d7b1253f285decd9aacde071;102.22222222222223
2ee8562cda6ecf832424075444ef375ebee9c8e1;100.0
7a287df9212439f896cafc8cf48e5692ab1ec191;100.0
b1c245e36b797d6d3d515a46fdc5101e8ef806dd;102.17391304347827
fb284bb86acac6b467a0094a55c88e248980d0e3;106.38297872340425
7aa3db4f2c0faf87acac71b984ece2bfcce85cc8;100.0
33ebdedd889667cbbeec6bcab8072f1babd3b53d;100.0
6046590933f7484ebc79be98ebfb4f0a5243f14d;100.0
c1337f2fac308ac34e2cd9bf9f776b927a10db71;100.0
459ffcf1c47792734b8a632658cc974afb4fffcd;100.0
599eb6e7924947bf4a51e30b74d339ae4cf6bf4d;102.0
bf5d00836e1926eac6b052cc785455e6612ba9ac;100.0
78b69b7284d01b158ba115d17ac619349e662eee;109.80392156862744
277d8be7087ee7c889c562d832eeb6e82ed479f3;101.78571428571429
b101155a23c9abd1c69e063aa81d5f09024726d1;100.0
73614f3091fad6fa7a90ed3d81d2116b18207a63;101.75438596491227
a467f8b58519de0d7c422f3a366066c8fd6b47a2;100.0
999fb470fd47299f401347125e859dc5f7fc10ff;100.0
38fc0178e57a1f92939e764f308d7473f949fa45;100.0
04e2336d92881aaa5aba3d2985fc1e0a2f75e8b2;100.0
0358c02788cf16c78dc20f7a63fcc5ab1e8b8cfd;100.0
64127a100e51f75864d1fcb1251aab805dd14544;100.0
ad73a48489037f3f5d7049487b6693215e4e94fc;100.0
467358e8f191748521c6c4057874c06d2253fdd0;100.0
de2bfb187d00668d4d35c23dba5f09aed2e2669d;100.0
a3c275fc6d299f7f03b4615877ac1b43a1e0b6ce;100.0
969a81b999ee5c46f2753d2fa10403bfdb1d8176;100.0
083662a120778820dca5d6f7c30a514c080b3dd1;100.0
ae04021c1c7c173e85e009e425556b63023290d4;100.0
ef7865d50d28487172e4357531dee1b8ef9641f6;101.72413793103448
9587d63012a9ca63dc0cf35b042bceb09e73eaaa;100.0
fb921be550516573b79da5c57d559d08800d354f;100.0
443ffd7308eee17b44d5afa04647c22e881490f9;100.0
3645af5c33ee74588ba395c0de76a0633d7505c4;100.0
7029c40c451c0a44ac25375c1027f3517555baef;100.0
5292c383572442f772705ccb47a40f9c1e132061;100.0
7a9158c416ede7ee7fe8fe0ae1feeb9203f16204;100.0
d87286c20aed61d8153fbbe9446cc337f9a48b63;100.0
cf8218adfd75ec77f3c503a89a723c5e1b8060e2;101.69491525423729
02712b5c5313b244d633b245a86db86396a20921;101.66666666666667
0b2ae8ac61188435d68defd2df2e85f15b87e12a;101.63934426229508
cfe104b77430640cea5eadd0f5561ee4fdc80fe5;101.61290322580645
64d1772115943514281c3a1460c329b0ae03b37e;100.0
298302e63283c77a99803de0971a50fd6286ddf7;100.0
52ffec9114f264da2f9a04e20a948cfe59577f0a;100.0
d2e6f8b61fd410227e50f8ba98d7633e780b943b;100.0
3023be9d79b40f0e1cd1c59bab5128f989f49c6a;100.0
767ef9c1d9c4c3e3806674ea24e1cfa92e9a02cf;101.58730158730158
135aaa6fdf968827e72e95ddaaf47e128b2ccba4;103.125
594798dc176216f10fc08aa21b324e08027bd56f;100.0
60c1fe480fd8549668d55d8f57ba1f972fff3d8c;100.0
40169f816c5671850cac535d71b0c8e849d5d2c9;100.0
22f425e04e579f94fa96b5b822676756150a2f52;100.0
092fba02e06639507e420af7481ffd0ba92a5d7d;100.0
959be9fa510a390e177442f647f80c83d82e6ada;125.75757575757575
14d06fc1bb85eab4ac080fe04dc10e2682557c8c;100.0
2b3ed7f36ec79aa70637737cb84edb0ceb21710a;119.27710843373494
692341d8ae8142302acd0c7315794ace4a659e08;100.0
0990ee01b83a71cf07232d704d8d7bb9f29f1a73;100.0
d25497a3612c07ac0b355d30f0f663535dde2a96;100.0
4c3842bc6a4f383683f792e9b1148f42bb7fc41d;101.01010101010101
828c61581c9f63529664ae4648948d786e52c79a;100.0
0085f978d15b2cce81a1bc95ac8b8977375d9239;100.0
9341781624ac9adda74d5bb9a6d2a4ddf58a2730;102.0
54f4654a8298aae874044c94ecb1db5e800720e9;101.96078431372548
9112ab1c1c8a1fa4a5896e341b6a9a119383d5c2;100.0
f18ae3f9b70cc9ef17487b3aed196383728d5ffc;100.96153846153847
2b4801a84254db61f76511b1f58acd622277db91;100.95238095238095
5041f04409079e8823313eb885139edfcdae21ae;104.71698113207547
568b160360d303ceba0366df415079ad304ff2d1;100.0
bdf0ca1e0b7aa48234dcd0241ba95036030a5d0c;108.10810810810811
7fc6783ee689472a614df5b354b9494559a93a36;103.33333333333333
8cf047c71ebbf2bd72c324b2733f3ec8e7e77d9c;100.0
2b711d06e8960d3313d9efca87f02771e98ee40b;100.0
70905bc0e29d99a11312c7f2c628f8998fa0427a;100.0
d3a3745435c0157f6dc4ea5f49b3300d2829dacd;100.0
b46a71ae5c6fa016a2cef9cb72bc0b13607e6f9e;100.0
6f434710c5efe26b94da5915fbcbb699c150bd76;100.0
13e034ddc9180974eb96e9c312afbaee7a24c6eb;102.41935483870968
59269d9feafbd0f7ddf449d63a3f1476bfe6e4c7;100.0
231c5a3c24c37ba90935a66c194643afc94e3ac8;102.36220472440945
b697ef502cbf48024b31cb195f010e06f593147c;100.0
759c1532dc7d4180fc136678f68a5953c89d04ed;100.0
3802e1db9e8ad7aa12facb0643840a1c722c19f8;100.0
c3603e817d59ae2f3f05371bd03ea78e167d9fc5;101.53846153846153
fe5485ca454c1b157d89d55430374dac64eec72d;100.0
71d2a937dada4a1032a5ae848dd5d73b20ab349c;100.0
7400aa989d6faf83782eaad4cefb6e00d859a5f0;100.0
5f7be716fe2a49b168a936774f1f0db02874d4c6;100.0
158fd55769c86a5b238b8b0a95febed5b4175787;100.0
012448179e513f641bec96bb9b9f8e60a4873072;100.0
5560a6d07b636828a013b22b5949946dc8712883;100.0
91e6d264d71d5d5567f41c16a5410a6adf21131f;100.0
c1363f6d23839a65179e310e1415a368d65bdc59;100.0
95b491e43ad9bf459f281158d9c152cc3b291dcb;100.0
96c0e3db0037c492d738a10b85db5bb894476ebe;100.0
dfc210bf549d618124d4b9195bf7de37c4533c78;100.75757575757575
ab9a2c89c5f39ac2cc5d3ca51714fccb10dbc00c;100.75187969924812
d0bb2a9a377bd78990736f858d57504befc95421;100.0
ea0c721e8dbdcf88e5e36103f7da7f69ab4a8da0;100.0
183a812d509b0133f32941337e09ae3fa3d68cec;100.74626865671642
34dcec58612d4c189815e41aef87b50058491ed4;100.0
7c637182d973e21d7feb136326a97b88f27c3827;100.0
9dd9af5294cca4ef0e4a19ec4829294b2a5d850f;100.0
2ebee1e253707cecb80407a52fbf1125dab14fa4;100.0
ef4d6d4c86ada606ab3ac209762156b7fa148863;100.74074074074075
7bde967c89efe4b57b4409257b59938dccae8767;100.0
491c8e53e1a2b8f00085b502582f4e0694175fa6;100.0
70a811203df88e5afbe189aac2b0390449cf3341;100.0
cdd6422c6c252e7fbb2cd28128f2f1d9c4e57664;101.47058823529412
1449d77c412289e555666967f368bb1e75930cf2;100.0
c69d5447806e9442fb7caa5fd8d652b652e84239;100.0
7226aba42f158a422ad77f38212ccfbda70a62c6;100.72463768115942
5573a00919fe0a900a42492c0bd9f5c8d807e25b;102.87769784172662
9ca2d29f11aa98e6795f329b702f0f284bfd0e6e;100.0
33bd9c0ffbca05f40cdafe5f299b06bf94807c86;100.0
873a00cc383ef9a99c6e28bf4735db1c75f40473;101.3986013986014
9e30d2abae57fdaaaf21b710b77d9b52e587a88b;101.37931034482759
c63e2078ff7acd09bc35a6f639b431327b35c0c7;100.0
261d29d95d51eb9acbccff1df579208966c418f1;100.0
3900b2fe9cf35846e6a996177e89cacc462a4781;100.68027210884354
975c3e1c81475ca506b2174ef396b22670a1268c;103.37837837837837
5acfb92b96614e93b00a62dcfb82bd6ef0e3b3ce;100.0
d9c9522c20b68a9d7e4171dbf4ffb82abfb79e40;100.0
096a16d387f87ced029d13a628794a935633d0cf;100.0
c6e1efc80ca7d2b02e60f2c86476013f93cbd7ae;100.0
3c869cc934ae7ee079aaaa89d8b1aacbe7171561;100.65359477124183
db028f58017bdeb1f2e9f7c2a441195db0056767;100.0
0b4223997328a7a12ac809a4c0509126ec8d0a8d;100.0
9b047d403b799b6187ebcaf1aa635b67c64fbc8c;100.0
3e65823def5d984b4199d6e16eb1c556d1f180b7;100.64935064935065
