year,core,peripheral,key,major,minor
2011,29,9,12,19,7
2012,519,135,242,333,79
2013,799,197,388,471,137
2014,1178,273,611,630,210
2015,1469,359,734,799,295
2016,1676,402,790,950,338
2017,1772,421,796,1040,357
