Commit;Size
f0a5f0e8aa7417e0d49667eb4c7fbef3591eccfe;100.0
df7a930dcf03e06f3306b985d80bd43cfc37a10d;100.0
97b5ac9b4aa5827f5550a0f254646c1d5267c6a6;200.0
46872f9f52aaf0dca143b29702a95baa6deff328;100.0
80d827fd89567b86d3408f9125d62cf426b73662;125.0
7fa4ee3ce42dd20e03b054d9ad2ad1763c46d070;100.0
9c8d148c741cd278cef09f403829bb9b90001941;100.0
1521484778080094c1c2335dce8a88727f956a98;100.0
a0cc54bb240fd0621787023f5227fd1f9539166a;100.0
742a42dbf347f6244dd37a7edee72ec2f8ca977f;100.0
e950d9b37e97f8573f0655520b88900e8acb2869;100.0
9182104b3dfae1950b4b905812fe21f72635d2c5;120.0
44c94d5af19a8a728cfcb2667285747612ed7fbd;100.0
f7a767aabd209977cb5ed81d58e4818a7f7342e0;100.0
b6302ed270bf9b1ae84fe66981a80a82885ef738;116.66666666666667
e0340c896977e4dea905370bd8d7db05f1ad2b3f;157.14285714285714
58503e7eec3d8b40d9da863cb02f6ae0ff6578af;127.27272727272727
477290cb92442e57f116d366f0ee74c4728271d4;100.0
25508b395d9d6ad1b0388e73f8104ac95f5e1638;107.14285714285714
1c15cb14c08e9afdc87af9fb91a9211aef88ed17;106.66666666666667
6b2b84f0e79349517b605a88225426ccb2527738;106.25
d4138b62b995039b196db945e3e099cd55c02d23;100.0
1ca31bba23375a480f07be507f0d912aa46b692d;100.0
ce06610103cc04fa8b2dd7b61d0ef685b8900eb1;152.94117647058823
6f17f419e0fbfd0a418175633a859bcd91cdd8e7;100.0
aef23069676deaff4120a60cff9db951d9e2cb54;100.0
6053ce341fc1f6b4e3c5e2a56535d07fb2bc505d;107.6923076923077
d5525cc4c0269e12ca8ea518599f0c17f18c56fd;100.0
72200fffeb098118bbeeddf8ecacd5a399f39d77;100.0
f740ef88932fe3001f1202584686a6486327cf44;100.0
f7c60dc9f667bbd971d4834b094deafa01078280;103.57142857142857
6fdd16815acb4d46bf82f94236e09291aba0ff5b;100.0
99ba8f14d5c2e563042b515bf0a8043c5618788b;100.0
7004cc6250299476954d492bf455805f4b7994b3;100.0
da494749636b64fd60aae0bc60d07b6539169ada;100.0
3e5b0bd6a09fc0234b1e5a59d2ad4a5527b272fc;100.0
13fecb8398f8f6e87d88a9c98626dae1a3c62f1b;100.0
10c96491356d449b54a478cb3b2f3c3e2917d220;100.0
0b3f9dcadcdaf69530b76245d07cfd92bde67977;100.0
d2b4104bc2cdde3404afc1c9ec90a22cce665d11;100.0
c5a3bf5fc162b5c50fe58496e9b819567c5f45a4;100.0
90b54cc01be3fdf92ec16815b89c72238abf7515;100.0
