Commit;Size
51e80fc903c8404d9515c60436b3f67b702f7c4c;100.0
0010fcad01ce4ac5051a61bec349bd6ac397c994;100.0
26e200f3e9e5fc2b353842093e047008913aada4;100.0
c8ad7794bca92258eb9419a4cf1f82ee1efccf62;100.0
4ad59c5ac249ce6e011ac6eb3d0d026274761f43;125.0
5ed3ee1f12d13fe78202dde454b2be4e2365ef8a;120.0
c39b5b1cfaca258fec0bfb8e597ae264bf5fae93;133.33333333333334
a20f19d70eae2f16cc82b11a446192463342a109;100.0
ff3752ec4ee1d326cffb7b2fa0a7ff620776cc20;100.0
c20dc79c1ddd373a2a345ef97cc0ab221b913d16;100.0
fb63d00ebe6dabbe9c4a9314a8bf950bce618540;100.0
c358911580db423133c958f8c68207a184137400;125.0
c360a10db25701f682849e5913d150f13a09f3bb;230.0
f34016d0fce891d13371ec11099b6b715d15099f;117.3913043478261
70492febc8a6384aeec79676cf74911bc43ac3c6;122.22222222222223
e44faf9fa20c0213106c81ad8e25e7a527d97d15;127.27272727272727
1af24b6d5132e00526b380879934141b27f710b0;128.57142857142858
7e0a9f6790af02c81bbb93f9d7f912c8300a3c69;100.0
8e39fe93002f65829043d26534c0b6db8e7bb708;100.0
4507f3cbb6519619331852673ef6c11098c4485f;100.0
38fbd44e8209287a7a98776bf865c7c7f96210cf;100.0
359b9bcac4dbb0617903612251590c89348856bf;100.0
d994ec9b8d6c86db348bf26d3364f2ff677da1ac;100.0
cbf6d9b66682a8ee5cebb2281f622b93f43f48bc;100.0
fcb1f1dc86e216faca4bdb9626200d99a6d9915a;100.0
8eeb52fc81c4e65c00839cfeef9f1cde8b1cc613;98.14814814814815
8eca0b1684f87025702aa6900ddd1ac0b61f6657;116.98113207547169
60f97fa32115c99627fa69c2aa2fdf76134d4563;100.0
e9abfd49bb59e0c46f76aeca8b64bca1d23e6d5b;100.0
1746a56d83b16216eb5c6b219714a26523e374a9;100.0
db7b3426781854f492c1ba2427abe660a4c2b58a;100.0
161f99e598b0673dd7b1a386198959444b4ff519;90.3225806451613
885a192916263ecadd9efcbdfef51a0a1c7a2f03;101.78571428571429
d3d4c5940a05ec914f5d0256483e0d643af7ea0c;100.0
1be498782acbf507108e14f75034b242833e8bdc;100.0
afdcadd7cf86d59adc7eccd154e50d521d8ec677;100.0
b0a70108d841858f90ad9e28be3bdd2a75b8189e;98.24561403508773
320bd0abd49d93d6699980a2b156917cf14ef969;100.0
6f81be3cd06900a879bb277a264e8fd2cf06b719;98.21428571428571
e4da4f33b2776c10a0b8bf37fe9f90d1df00fb79;101.81818181818181
79cf7b99aa472a176a1914d8f03dfdceaeed1ee7;101.78571428571429
2c0dd9b1ebe56564cf3d08cdebe68031ab63a7b6;100.0
83869973cb8f43d36172569ee6e6c2a33a8e0a02;100.0
0ec666a40d878b0dd2bc83ce27fcf494f953ce8b;100.0
79f6ffa3f3582ffde0687304c8858f159b9dc567;103.50877192982456
eca62ddf18f8075984150bcfca63714e323b6b69;93.22033898305085
9eb15e876f5a310934cfa77f25638af37de24483;101.81818181818181
edf84805e242da0b4166a7c836f84ebb62ba8083;100.0
a5d89f85d26c27b564047cb635eb2f051a329368;100.0
8ddc246a3b02467b1991c8acdd8b6eaae574af1e;100.0
d5a84f6d56f77d478ebe751fe7f91998a6e12c21;100.0
004c81d5b2ed8b6db6098e0ff11d4dc7a27ebe98;100.0
e5afd028158ad98c6649571960560f67ca4bda0c;92.85714285714286
699c3b67c2673ae1725012e2523524ffee019c96;96.15384615384616
c93fe8e1120284ffe7867fd66a836fcfde527110;98.0
77fec66f6b3da38b91bf0c2c4cb6cf46ec2f7f11;100.0
e79f0fea64a359e2883922d6b5f594f6552b7f1a;100.0
efbe0991e910a089c02463b9777f7a64a7501318;100.0
5cde3d9ced307f01ded5a4090db3737b1d55e8e5;100.0
e5d4220d2635a31283bada96a769ccb674a9195e;100.0
7ab815749af053b524a820f30ae5361739597aff;100.0
7a0867f54cd6036e9ec2243595207b035c436161;100.0
a8dd6b9044fa06f4ace201672124e2c539d8925c;106.12244897959184
63621af7bc1672752f5fcc7af4e7da27120fde34;100.0
