year,core,peripheral,key,major,minor
2002,29,28,0,29,28
2003,88,103,0,149,42
2004,216,149,0,297,68
2005,302,164,0,388,78
2006,480,171,0,566,85
2007,619,196,0,705,110
2008,746,208,0,832,122
2009,764,217,0,850,131
2010,1018,220,0,1104,134
2011,1122,220,0,1208,134
2012,1420,220,0,1506,134
2013,1543,235,0,1630,148
2014,1589,245,0,1678,156
2015,1700,270,0,1803,167
2016,1754,320,0,1889,185
2017,1800,395,0,1993,202
