year,core,peripheral,key,major,minor
2011,33,2,33,0,2
2012,137,2,137,0,2
2013,337,2,247,90,2
2014,551,2,393,158,2
2015,837,11,644,195,9
2016,1222,111,979,338,16
2017,1301,125,1058,347,21
2018,1466,133,1222,350,27
