year,core,peripheral,key,major,minor
2007,49,14,0,49,14
2008,309,29,88,221,29
2009,639,32,193,446,32
2010,873,59,299,574,59
2011,1149,63,390,759,63
2012,1382,81,494,888,81
2013,1573,93,565,1008,93
2014,1788,111,605,1183,111
2015,2044,157,605,1439,157
2016,2216,222,710,1514,214
2017,2341,473,744,1673,397
