no,core,peripheral,key,major,minor
1,0,0,43,89,26
2,0,0,97,203,54
3,0,0,155,317,69
4,0,0,201,424,95
5,0,0,248,545,125
6,0,0,305,646,156
7,0,0,371,791,183
8,0,0,425,895,208
9,0,0,467,1006,240
10,0,0,513,1114,276
11,0,0,551,1217,296
12,0,0,601,1332,333
13,0,0,659,1436,355
14,0,0,714,1534,379
15,0,0,774,1637,415
16,0,0,826,1745,444
17,0,0,881,1852,477
