no,core,peripheral,key,major,minor
1,0,0,0,121,15
2,0,0,0,234,30
3,0,0,0,345,42
4,0,0,0,470,47
5,0,0,0,586,63
6,0,0,0,698,74
7,0,0,0,823,85
8,0,0,0,927,94
9,0,0,0,1042,106
10,0,0,0,1176,116
11,0,0,0,1300,122
12,0,0,0,1424,129
13,0,0,0,1537,135
14,0,0,0,1642,153
15,0,0,0,1765,160
16,0,0,0,1899,170
