year,core,peripheral,key,major,minor
2001,22,55,0,22,55
2002,268,194,66,274,122
2003,814,242,487,399,170
2004,1130,270,795,407,198
2005,1214,289,879,407,217
2006,1298,301,950,420,229
2007,1390,338,950,512,266
2008,1427,392,950,549,320
2009,1654,435,950,776,363
2010,1737,450,950,859,378
2011,1743,484,950,865,412
2012,1909,505,950,1031,433
2013,2390,518,950,1512,446
2014,2442,524,950,1564,452
2015,2657,526,950,1779,454
2016,2681,529,950,1803,457
2017,2715,572,950,1837,500
