no,core,peripheral,key,major,minor
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,152,88,7
8,0,0,461,234,24
9,0,0,779,390,52
10,0,0,1090,543,76
11,0,0,1399,732,94
12,0,0,1719,894,108
13,0,0,2042,1076,132
14,0,0,2343,1263,155
15,0,0,2656,1437,170
16,0,0,2971,1587,192
17,0,0,3281,1756,218
