year,core,peripheral,key,major,minor
2005,171,73,0,223,21
2006,683,107,0,761,29
2007,820,132,0,898,54
2008,858,161,0,936,83
2009,961,168,0,1039,90
2010,1214,186,0,1292,108
2011,1492,196,0,1580,108
2012,1745,269,0,1906,108
2013,1897,312,0,2058,151
2014,2128,329,0,2289,168
2015,2366,361,0,2527,200
2016,2494,454,0,2655,293
2017,2680,602,0,2841,441
