Commit;Size
daba0e068491be0c609d4655c05ad78e3dfe7c5f;150.0
9358f37165e073be4c7fe3ce5d0becbe769c2bdf;266.6666666666667
ec497cc6e6ac169b560dcf289c7de6e9fe32af39;112.5
e7b32f1eb2970ebdaf8c56fb5b152606b1bd5a34;100.0
2d4b2e68cc82e7e67d91c4d33b6be7d1d8c95c7a;100.0
b09de02746bffbec469c84f5776e78e523ba8758;100.0
52b796cc080fe5e8a81bafc60162adbbb64009de;100.0
e2b77a67751ad8c36ca1b1bc98ebf8faf16c6726;100.0
6d9bcb3897194dab3acb240bf812c08f9728d42d;100.0
c882e00bbcff1bfc9e9295e5e5a7888101b46932;100.0
3e709d3f586b6d51f4b47e8f76096c0bac1fc7c5;100.0
8bf3d0df4d823cbf25bfa5d09930c13966ac616d;100.0
9b12f4062d7ed55e3c783a21347d6af5e97dcfbc;133.33333333333334
0e58b5fee6d7d42864d3fd19e586c584a6d632cd;100.0
06067f315bbf6973bd52708e386e33d9f0d2ce68;100.0
7098fb458fcc0433b12a67a3595e9ecfb091d8cb;108.33333333333333
ff496c926ac94defd5154dbdcd6bd56a88df2eac;100.0
a998f44ba8eb2b7db9670f28e998a7549e55b413;100.0
d05adb31d5c9223d69211ea86abbafefc13c0d34;100.0
95710e2c5a8187a256ecb5299bf407cb7e76c5b5;100.0
b3e6471909c78c7ce144465f3b81d663cc373206;100.0
55943eae044ce6652f1261789fdfc218ab590228;107.6923076923077
4229c5b33d04c6b2278d1c4c9e0876269630b27a;107.14285714285714
6648f2e5f20d923fc567a04a9a24a4a2aa6d7ce5;106.66666666666667
7d37f3845c1d75c743ce738312424058b07b6666;106.25
c620e4846ec6cc6fb98f5b5f3174d4e7a4eda465;100.0
220fd615180c054ea69684d4102e6d0b85da7bac;105.88235294117646
35baa0ea7a19feec7245015d306c262bc02f80f9;100.0
a7014499737c823df0417bdab6676a578e7326fe;105.55555555555556
d39314dc553bf73a9ec60ef2d8473e9e7df67044;105.26315789473684
0faf643f0efa6f2ad848fed686443d8e4c4ad978;110.0
58ad9547e4336b686b46f81fd072e68990d2f337;100.0
c4e427db3597c3cb2d7f901a80fac904b3cda13c;104.54545454545455
1d9c84678e914c16f406bbffcad5ae31ab4d322b;100.0
e70ecacec2d585a898eb1e3ae2cf3cd2ebdec2d6;104.34782608695652
6154a5b267bdd33616cb8e8453840821319d816c;108.33333333333333
a5f88b96d6b47aba308cbb6604751560a7e57033;100.0
356f063ab765d3d17c25dcd03982898f6ec5e266;103.84615384615384
751b3eb237a304eb54f1d2074b4e726082c5bb05;100.0
c1a10fac2278fee861c54f63025b17b016bc6c36;103.70370370370371
e15706f462be7f8b0fa8b76064062e6b0ac77dca;100.0
886c55a59b5a08216e8e7ddead48b3b83b06bcc7;100.0
37e4305aae6d1d5a95abd9a07636703f32f5ef0f;100.0
69b2f14373300138605cb74f37220e5872101ffc;100.0
bba90b836024ce3ae73cb025746cee3c122747ca;100.0
c051fb51a50ff747590c11df0a6ea9b4cf20b644;100.0
66e552e525293638c0c3aa429c5df5e3838c068d;103.57142857142857
c00b2c21ff0d20029b2064e263fdfe51e6c4ad0e;103.44827586206897
3036dc9fc75d3336bf329635f091776f805a3133;106.66666666666667
aa1b8c5881619381dea121c7d8a93145bf9a6821;100.0
45b5cf7f50a4ef5e0f904e8017e72ec014f76cb0;100.0
6a9871b9642f7e219348e25d56a801de7b2dbc5c;100.0
e21843f3948243469472d2e5f209db1901342e6f;100.0
9707c4418166d1fd2668c82369a6fbdf5f53b4d7;100.0
4ffb78b98d498e2604ff4482180d8058f25d04b5;100.0
1e027c52d3746fdda27eb01324ca3994c20e6293;100.0
a17464ee9d8a25cf2dfe2943cde58cec7652c9a5;115.625
387568733d6696dbcbfff97af379c74be5a51851;100.0
3f3aa6c9dc3881b54dd0328149663b744e37e8a2;100.0
c83397bd8fea3f7a7d24632728848698a13c3435;102.70270270270271
26da882404292994353bd8bfdb1b7e710b0bf022;100.0
a48cb18a7e48ed6a84450e73cfca0acf070b0489;100.0
22ef7c27f434aa75bce21ac52e58501d35ac8961;102.63157894736842
a779336b882c1d54f96c68eb1c0b83a4a8f25f77;105.12820512820512
8bc823cf98b6875252a0c147d468a64063eca421;102.4390243902439
c71200899f3d73dfd1caa0fdeb2dfe86f768029a;104.76190476190476
647ec346c12093b406c2d482616bbbe2bdfd94a1;100.0
6ff9d92d044c9da5132516a2b436eab2743c5ffb;102.27272727272727
05d2ffa3879c707c6e3ce83219ee48e78d0134af;100.0
a5183e1d2d1ffeca08781d4f05ddce5f3d4efde8;102.22222222222223
29bea6a24ea978596c3c1880a520b24bdeb2252d;100.0
86a670132588fc2bebfe731aa282de7c0c291d5e;100.0
1f16489855411e779376c32d9c9d8ea8048acec9;100.0
53b132045f1b56088690bbfcb31cf5e4a464952e;102.17391304347827
db9481e67b386d6e625519f7e9123e903e96aef3;100.0
5ad874957f98ee5568a3b03f249e615f75b503b4;100.0
a30f25923ba4541e1f466aba9d5f5223db440f2d;100.0
23a6cdd0dcde915898abda01bfad19a51981f822;100.0
0de9cbb52b5f216a10307e881a96d4a6271a9e0e;100.0
c6efeb7d9610b135a56d67ee901f319d1aceb18b;100.0
5f4fa46141d79bff082e2ec65e7f8959c9a401ac;102.12765957446808
d299b3fe2d9a08565a398bc355997fd1389a6b90;100.0
50dc0872b7f8c275d1172520bcf6058bd4d8d2bd;100.0
09c6768180f65c825b3d6fd85377c2e6dd473d2f;102.08333333333333
48e7e0a440ec02cfd79764a02a76de942bbc7a8e;100.0
023079391f5455066afad8b7097700a161c81dba;100.0
be854409967ee6bdc02f1f9a83ef454fdcea07aa;106.12244897959184
f049efa690f8abcc8ba70d178282e2ca2dfc2ea4;103.84615384615384
b4ee2022aab84c0713267c3d56d0ed4b1917b782;100.0
fbd1c69406b3e0184d0888734411abd53481dc18;101.85185185185185
381d80d9b4082a97557a9ee8e3165abfb512a697;100.0
1bb19f42b0237a70d7e98af142978e87d1152f53;101.81818181818181
260615cc687f45bfde71e4895a59ac5730304c83;105.35714285714286
60efbaac7da5639f2120ee87fe61ddc42d449432;100.0
2242f009e69f5462aa35c25150facf524d0f30da;105.08474576271186
f51c1c1b7dcaa308538c5c6b324572ff23066c6b;101.61290322580645
9c188c82b22f03d6de214b1a1fb82e6fb9cbeeaa;100.0
dc0faad1826ff3cbe75908a43f9600141acccb13;100.0
775a3d2b76aa45a9cc6981a1400eeb2e5fe085af;100.0
72ebcd63982550982c48c9ea63e7c89cae8d61b7;101.58730158730158
fee04443a73b10386c846a37f3049c69707c231b;101.5625
08fa4e09560ce13016363f10c5e83e5ac4962a79;100.0
6d50255deeb1396d5f91cb2195cc40e26f5354a6;106.15384615384616
8c1b0d9f46616f942810448fa206e56b57f45214;100.0
77c412fe233c0211391f7a872ebfe95a289391dc;100.0
492897c3d041476a953c2d1077d9481512a6838c;101.44927536231884
4b94d397dc828db1364898e0e9387246c72ba9fc;114.28571428571429
c2c1f0251164c6385c9d4cbbe78dd397544fb6b9;102.5
38dc9ab9e7920c3d0fb7a1b39bc99c88d71279e1;100.0
d59b139f21011b6ac87b456ccc93c2a187dcd5ce;100.0
821ee0023e2c67d744b9f4fe119d7acbeaa6b211;101.21951219512195
b8af21b034705861dd221a354060ec276c57c80a;100.0
83824735dab2208548c81a9996a486899672a2dc;100.0
60065873e482d66e7a3dfb25cfc66b995fcfa342;102.40963855421687
30142ce3e47e3a7cdb79f872dd7116bff2313367;100.0
8854f7c2da1cb5b1f1d6b2e52f0733e6b34e63df;100.0
8593b3ce1f36b90091a337d047b45a1d6be240d2;100.0
5790d66cfb47ef743a0d8f9082da2f5a751f7d67;100.0
c316cc0957314c38be06287b36e572bf83bda82c;100.0
7e6c63a5e1ffc4aef3460e5d1724cb116f1352ad;100.0
58a21d3efcd2481480c9cb7625851067f1183282;100.0
5f718a0c0922848fbd527b35950574652ee094b0;100.0
c24db6446eb6351338abc3b2ec07b9fe1a8e1257;100.0
7cad99e9a93d787162198757faa26ea07b707be7;100.0
bd310dec168394941fb49cb76e761aba62a790b8;100.0
f43a0e816349e86c605e2a68dba93c19aef5d126;100.0
29d2ad408d405ba32065fb6a3d110476c45e8363;100.0
29b406e810f49a28fcb2e88fdf947fda9b48fd86;101.17647058823529
