year,core,peripheral,key,major,minor
2010,2,12,0,2,12
2011,107,32,15,92,32
2012,361,115,244,173,59
2013,496,131,332,228,67
2014,693,140,445,312,76
2015,793,147,498,360,82
2016,899,185,551,447,86
2017,1002,238,582,520,138
2018,1034,257,582,553,156
